description,Category
bought groceries from bigbasket,Household
paid monthly house rent,Household
transfer to dad for family needs,Family
gifted friend a watch,Gift
visited salon for haircut,Grooming
hair spa and haircut appointment,Grooming
recharged jio plan,subscription
paid tata sky bill,subscription
renewed netflix premium subscription,subscription
refilled water tanker,water (jar /tanker)
celebrated ganesh chaturthi at home,Festivals
purchased ganesh idol for puja,Festivals
paid maid monthly salary,maid
bus ticket to airport,Transportation
train from city center to hometown,Transportation
shared uber with friends to mall,Transportation
received salary for april,Salary
salary credited in hdfc account,Salary
transfer to savings account,Saving Bank account 1
transferred money to spouse,Family
school fees for daughter,Education
joined self-improvement course,Self-development
online coding bootcamp,Self-development
dividend received from infosys shares,Dividend earned on Shares
icici fixed deposit matured,Maturity amount
medicines for fever and headache,Health
routine medical checkup,Health
birthday gift shopping,Gift
bought t shirt and jeans online,Apparel
bought atta and rice from local store,Household
