id,name,type,expected_annual_return_pct,risk_level,min_investment,liquidity_days,volatility_index,micro_invest_enabled,popular_with_users
1,Axis Bluechip Fund,Equity,12,High,500,3,0.75,True,8.6
2,HDFC Short Term Debt Fund,Debt,7,Low,100,2,0.15,True,6.2
3,ICICI Balanced Advantage,Hybrid,9.5,Medium,100,5,0.45,True,7.4
4,FD - SBI Bank,FD,5.5,Low,1000,90,0.05,False,8.0
5,NPS (Tier I),Retirement,10,Medium,500,15,0.3,False,7.1
6,PPF,PPF,7.1,Low,500,180,0.1,False,6.8
7,Gold ETF,Commodity,8,Medium,100,1,0.5,True,6.0
8,Nifty50 ETF,Equity,11.2,High,100,2,0.8,True,9.0
9,Bharat Bond ETF,Debt,6.75,Low,1000,10,0.2,False,5.9
10,ELSS Tax Saver Fund,Equity,13,High,500,36,0.85,True,7.9
